0.0,0.0
0.1008,0.0
0.2016,0.0
0.3023,0.0
0.4031,0.0
0.5039,0.0
0.6047,0.0
0.7054,0.0
0.8062,0.0
0.907,0.0
1.0078,0.0
1.1085,0.0
1.2093,0.0
1.3101,0.0
1.4109,0.0
1.5116,0.0
1.6124,0.0
1.7132,0.0
1.814,0.0
1.9147,0.0
2.0155,0.0
2.1163,0.0
2.2171,0.0
2.3178,0.0
2.4186,0.0
2.5194,0.0
2.6202,0.0
2.7209,0.0
2.8217,0.0
2.9225,0.0
3.0233,0.0
3.124,0.0
3.2248,0.0
3.3256,0.0
3.4264,0.0
3.5271,0.0
3.6279,0.0
3.7287,0.0
3.8295,0.0
3.9302,0.0
4.031,0.0
4.1318,0.0
4.2326,0.0
4.3333,0.0
4.4341,0.0
4.5349,0.0
4.6357,0.0
4.7364,0.0
4.8372,0.0
4.938,0.0
5.0388,0.0
5.1395,0.0
5.2403,0.0
5.3411,0.0
5.4419,0.0
5.5426,0.0
5.6434,0.0
5.7442,0.0
5.845,0.0
5.9457,0.0
6.0465,0.0
6.1473,0.0
6.2481,0.0
6.3488,0.0
6.4496,0.0
6.5504,0.0
6.6512,0.0
6.7519,0.0
6.8527,0.0
6.9535,0.0
7.0543,0.0
7.155,0.0
7.2558,0.0
7.3566,0.0
7.4574,0.0
7.5581,0.0
7.6589,0.0
7.7597,0.0
7.8605,0.0
7.9612,0.0
8.062,0.0
8.1628,0.0
8.2636,0.0
8.3643,0.0
8.4651,0.0
8.5659,0.0
8.6667,0.0
8.7674,0.0
8.8682,0.0
8.969,0.0
9.0698,0.0
9.1705,0.0
9.2713,0.0
9.3721,0.0
9.4729,0.0
9.5736,0.0
9.6744,0.0
9.7752,0.0
9.876,0.0
9.9767,0.0
10.0775,0.0
10.1783,0.0
10.2791,0.0
10.3798,0.0
10.4806,0.0
10.5814,0.0
10.6822,0.0
10.7829,0.0
10.8837,0.0
10.9845,0.0
11.0853,0.0
11.186,0.0
11.2868,0.0
11.3876,0.0
11.4884,0.0
11.5891,0.0
11.6899,0.0
11.7907,0.0
11.8915,0.0
11.9922,0.0
12.093,0.0
12.1938,0.0
12.2946,0.0
12.3953,0.0
12.4961,0.0
12.5969,0.0
12.6977,0.0
12.7984,0.0
12.8992,0.0
13.0,0.0
13.0,-0.1
13.0,-0.2
13.0,-0.3
13.0,-0.4
13.0,-0.5
13.0,-0.6
13.0,-0.7
13.0,-0.8
13.0,-0.9
13.0,-1.0
13.0,-1.1
13.0,-1.2
13.0,-1.3
13.0,-1.4
13.0,-1.5
13.0,-1.6
13.0,-1.7
13.0,-1.8
13.0,-1.9
13.0,-2.0
13.0,-2.1
13.0,-2.2
13.0,-2.3
13.0,-2.4
13.0,-2.5
13.0,-2.6
13.0,-2.7
13.0,-2.8
13.0,-2.9
13.0,-3.0
13.0,-3.1
13.0,-3.2
13.0,-3.3
13.0,-3.4
13.0,-3.5
13.0,-3.6
13.0,-3.7
13.0,-3.8
13.0,-3.9
13.0,-4.0
13.0,-4.1
13.0,-4.2
13.0,-4.3
13.0,-4.4
13.0,-4.5
13.0,-4.6
13.0,-4.7
13.0,-4.8
13.0,-4.9
13.0,-5.0
13.0,-5.1
13.0,-5.2
13.0,-5.3
13.0,-5.4
13.0,-5.5
13.0,-5.6
13.0,-5.7
13.0,-5.8
13.0,-5.9
13.0,-6.0
13.0,-6.1
13.0,-6.2
13.0,-6.3
13.0,-6.4
13.0,-6.5
13.0,-6.6
13.0,-6.7
13.0,-6.8
13.0,-6.9
13.0,-7.0
13.0,-7.1
13.0,-7.2
13.0,-7.3
13.0,-7.4
13.0,-7.5
13.0,-7.6
13.0,-7.7
13.0,-7.8
13.0,-7.9
13.0,-8.0
13.0,-8.1
13.0,-8.2
13.0,-8.3
13.0,-8.4
13.0,-8.5
13.0,-8.6
13.0,-8.7
