x,y
10.0967,0.8171
10.11,0.8704
10.124,0.9236
10.139,0.9765
10.1547,1.0291
10.1713,1.0816
10.1887,1.1337
10.2069,1.1856
10.2259,1.2372
10.2458,1.2884
10.2664,1.3394
10.2879,1.39
10.3101,1.4403
10.3331,1.4902
10.3569,1.5398
10.3815,1.589
10.4068,1.6378
10.4329,1.6861
10.4598,1.7341
10.4874,1.7816
10.5158,1.8287
10.5449,1.8754
10.5747,1.9216
10.6052,1.9673
10.6365,2.0125
10.6684,2.0572
10.7011,2.1015
10.7345,2.1452
10.7685,2.1883
10.8032,2.231
10.8386,2.2731
10.8746,2.3146
10.9113,2.3555
10.9486,2.3959
10.9866,2.4357
11.0251,2.4749
11.0643,2.5134
11.1041,2.5514
11.1445,2.5887
11.1854,2.6254
11.2269,2.6614
11.269,2.6968
11.3117,2.7315
11.3548,2.7655
11.3985,2.7989
11.4428,2.8316
11.4875,2.8635
11.5327,2.8948
11.5784,2.9253
11.6246,2.9551
11.6713,2.9842
11.7184,3.0126
11.7659,3.0402
11.8139,3.0671
11.8622,3.0932
11.911,3.1185
11.9602,3.1431
12.0098,3.1669
12.0597,3.1899
12.11,3.2121
12.1606,3.2336
12.2116,3.2542
12.2628,3.2741
12.3144,3.2931
12.3663,3.3113
12.4184,3.3287
12.4709,3.3453
12.5235,3.361
12.5764,3.376
12.6296,3.39
12.6829,3.4033
12.7365,3.4157
12.7902,3.4273
12.8442,3.438
12.8982,3.4479
12.9525,3.4569
13.0068,3.4651
13.0613,3.4724
13.1159,3.4789
13.1706,3.4845
13.2254,3.4892
13.2802,3.4931
13.3351,3.4961
13.3901,3.4983
13.445,3.4996
13.5,3.5
13.555,3.4996
13.6099,3.4983
13.6649,3.4961
13.7198,3.4931
13.7746,3.4892
13.8294,3.4845
13.8841,3.4789
13.9387,3.4724
13.9932,3.4651
14.0475,3.4569
14.1018,3.4479
14.1558,3.438
14.2098,3.4273
14.2635,3.4157
14.3171,3.4033
14.3704,3.39
14.4236,3.376
14.4765,3.361
14.5291,3.3453
14.5816,3.3287
14.6337,3.3113
14.6856,3.2931
14.7372,3.2741
14.7884,3.2542
14.8394,3.2336
14.89,3.2121
14.9403,3.1899
14.9902,3.1669
15.0398,3.1431
15.089,3.1185
15.1378,3.0932
15.1861,3.0671
15.2341,3.0402
15.2816,3.0126
15.3287,2.9842
15.3754,2.9551
15.4216,2.9253
15.4673,2.8948
15.5125,2.8635
15.5572,2.8316
15.6015,2.7989
15.6452,2.7655
15.6883,2.7315
15.731,2.6968
15.7731,2.6614
15.8146,2.6254
15.8555,2.5887
15.8959,2.5514
15.9357,2.5134
15.9749,2.4749
16.0134,2.4357
16.0514,2.3959
16.0887,2.3555
16.1254,2.3146
16.1614,2.2731
16.1968,2.231
16.2315,2.1883
16.2655,2.1452
16.2989,2.1015
16.3316,2.0572
16.3635,2.0125
16.3948,1.9673
16.4253,1.9216
16.4551,1.8754
16.4842,1.8287
16.5126,1.7816
16.5402,1.7341
16.5671,1.6861
16.5932,1.6378
16.6185,1.589
16.6431,1.5398
16.6669,1.4902
16.6899,1.4403
16.7121,1.39
16.7336,1.3394
16.7542,1.2884
16.7741,1.2372
16.7931,1.1856
16.8113,1.1337
16.8287,1.0816
16.8453,1.0291
16.861,0.9765
16.876,0.9236
16.89,0.8704
16.9033,0.8171
